Category,ConvertedObjects,NotConvertedObjects,PartiallyConvertedObjects,Total,ProcessedLoC,NotProcessedLOC,ErrorParsingLOC,TotalParsingErrors,TotalConversionErrors,ErrorConversionLOC,TotalLoc
Fallback Option,2,0,0,2,2,0,0,0,0,0,0
Table Journal Option,1,0,0,1,1,0,0,0,0,0,0
Table After Journal Option,1,0,0,1,1,0,0,0,0,0,0
Exact Numeric Type,8,0,0,8,8,0,0,0,0,0,0
Tables,3,0,0,3,17,0,0,0,0,0,0
Procedures,3,0,0,3,18,0,0,0,0,0,0
If Statement,1,0,0,1,5,0,0,0,0,0,0
Function Expr,4,1,0,5,12,2,0,0,0,0,0
Assignment Stat,2,0,0,2,2,0,0,0,0,0,0
Checksum Option,1,0,0,1,1,0,0,0,0,0,0
From Clause,3,0,0,3,3,0,0,0,0,0,0
Teradata Select,3,0,0,3,25,0,0,0,0,0,0
Create Join Index,1,0,0,1,3,0,0,0,0,0,0
Default Clause,1,0,0,1,1,0,0,0,0,0,0
Format Data Type Attribute,0,1,0,1,0,1,0,0,0,0,0
Var Basic Type,1,0,0,1,1,0,0,0,0,0,0
Inserts,1,0,0,1,2,0,0,0,0,0,0
Macros,1,0,0,1,13,0,0,0,0,0,0
Functions,1,0,1,2,23,1,0,0,0,0,0
Replace View Start,0,2,0,2,0,2,0,0,0,0,0
Expr Alias,0,3,0,3,0,0,0,0,0,13,0
Views,0,0,2,2,14,0,0,0,3,13,0
Where Clause,1,0,0,1,1,0,0,0,0,0,0
